id,source,matching,destination,type,category,status,ignore
"1","why-decomposition-matters","exact","https://agilevelocity.com/blog/why-decomposition-matters","301","","active",""
"2","decomposing-attack-complexity","exact","https://agilevelocity.com/blog/decomposing-attack-complexity","301","","active",""
"2","agile-technical-practices/decomposing-attack-complexity/","exact","https://agilevelocity.com/blog/decomposing-attack-complexity","301","","active",""
"3","do-you-divide-and-conquer-or-swarm","exact","https://agilevelocity.com/blog/do-you-divide-and-conquer-or-swarm","301","","active",""
"4","qualities-of-a-good-team-player","exact","https://agilevelocity.com/blog/qualities-of-a-good-team-player","301","","active",""
"4","team/qualities-of-a-good-team-player/feed/","exact","https://agilevelocity.com/blog/qualities-of-a-good-team-player","301","","active",""
"5","avoid-surprises-at-sprint-planning-create-a-definition-of-ready","exact","https://agilevelocity.com/blog/avoid-surprises-at-sprint-planning-create-a-definition-of-ready","301","","active",""
"6","podcast-recommendation-the-ruby-rogues","exact","https://agilevelocity.com/blog/podcast-recommendation-the-ruby-rogues","301","","active",""
"7","the-lean-startup-book-review","exact","https://agilevelocity.com/blog/the-lean-startup-book-review","301","","active",""
"8","agile-kanban-scrum-excel-reporting-templates","exact","https://agilevelocity.com/blog/agile-kanban-scrum-excel-reporting-templates","301","","active",""
"9","notes-from-agile2012","exact","https://agilevelocity.com/blog/notes-from-agile2012","301","","active",""
"10","should-a-tester-be-afraid-to-hear-the-word-refactor","exact","https://agilevelocity.com/blog/should-a-tester-be-afraid-to-hear-the-word-refactor","301","","active",""
"11","you-might-be-an-agile-tester","exact","https://agilevelocity.com/blog/you-might-be-an-agile-tester","301","","active",""
"12","evolution-of-a-user-story","exact","https://agilevelocity.com/blog/evolution-of-a-user-story","301","","active",""
"13","recap-of-lssc12-conference","exact","https://agilevelocity.com/blog/recap-of-lssc12-conference","301","","active",""
"14","infrastructure-agility","exact","https://agilevelocity.com/blog/infrastructure-agility","301","","active",""
"15","a-tried-and-true-method-for-retrospectives","exact","https://agilevelocity.com/blog/a-tried-and-true-method-for-retrospectives","301","","active",""
"15","uncategorized/a-tried-and-true-method-for-retrospectives/","exact","https://agilevelocity.com/blog/a-tried-and-true-method-for-retrospectives","301","","active",""
"16","kanban-vs-scrum-how-to-choose","exact","https://agilevelocity.com/blog/kanban-vs-scrum-how-to-choose","301","","active",""
"17","why-are-our-sprints-so-crazy","exact","https://agilevelocity.com/blog/why-are-our-sprints-so-crazy","301","","active",""
"18","4-advantages-of-physical-task-boards","exact","https://agilevelocity.com/blog/4-advantages-of-physical-task-boards","301","","active",""
